country,year,gdp_pcap (US dollars)
BDI,2012,231.68849639356924
BDI,2013,234.8430453888283
BDI,2014,250.5404811118771
BDI,2015,280.9668313119229
BDI,2016,235.28620539390823
BDI,2017,236.6944725927535
BDI,2018,224.89939239264044
BDI,2019,210.23649452153177
BDI,2020,210.00813990250842
BDI,2021,214.09145541613333
BDI,2022,250.6342253687444
BDI,2023,192.07430535935111
BDI,2024,153.93021785402323
CAF,2012,544.3958491427853
CAF,2013,364.36696260838005
CAF,2014,409.8504859646996
CAF,2015,366.3228539381206
CAF,2016,387.17620344431776
CAF,2017,432.3240256842626
CAF,2018,455.24396285953395
CAF,2019,449.2284676024388
CAF,2020,462.87907129401145
CAF,2021,492.26314283050743
CAF,2022,467.35982502623835
CAF,2023,495.9788972887206
CAF,2024,516.1704245377571
DJI,2012,1400.193578589536
DJI,2013,2075.944984247476
DJI,2014,2214.620841424321
DJI,2015,2376.1255471987265
DJI,2016,2510.430007624096
DJI,2017,2618.95521147369
DJI,2018,2718.0833879920333
DJI,2019,2837.169023409324
DJI,2020,2844.888106478533
DJI,2021,3025.9112641354923
DJI,2022,3133.2577977246297
DJI,2023,3397.5201577958765
DJI,2024,3496.471118767627
ETH,2012,452.10103188575357
ETH,2013,484.039833104062
ETH,2014,549.9865770825876
ETH,2015,621.8456738081328
ETH,2016,696.1960848063238
ETH,2017,745.6324339253431
ETH,2018,747.9680036726737
ETH,2019,828.7090805229211
ETH,2020,905.3131592541483
ETH,2021,910.9478870745081
ETH,2022,1011.0733241346222
KEN,2012,1285.005361715117
KEN,2013,1370.8788521465926
KEN,2014,1482.8156625349743
KEN,2015,1489.1195977728398
KEN,2016,1554.1261031442327
KEN,2017,1667.4844723083543
KEN,2018,1836.4527552899294
KEN,2019,1960.408088548926
KEN,2020,1927.6645902784887
KEN,2021,2061.3562208959406
KEN,2022,2109.562885131375
KEN,2023,1952.3045792963608
KEN,2024,2206.1349785176008
MOZ,2012,685.6857481995128
MOZ,2013,686.505672517351
MOZ,2014,697.1426804441226
MOZ,2015,610.5637747065892
MOZ,2016,441.4897348190715
MOZ,2017,470.9385630519602
MOZ,2018,517.5072602581007
MOZ,2019,519.0925509136196
MOZ,2020,462.4338764799215
MOZ,2021,509.90782947555147
MOZ,2022,578.251663751351
MOZ,2023,622.9856193205957
MOZ,2024,647.2857995020698
RWA,2012,706.8172686891002
RWA,2013,704.9242179661595
RWA,2014,724.9575261092621
RWA,2015,733.9986303923145
RWA,2016,729.5191340446113
RWA,2017,758.3009667376243
RWA,2018,771.7735110579006
RWA,2019,810.0514121373539
RWA,2020,778.7014987874107
RWA,2021,829.5448456397766
RWA,2022,975.4693239795414
RWA,2023,1027.0344680443206
RWA,2024,999.6545614026985
SDN,2012,1019.22210693359
SDN,2013,1138.62780761719
SDN,2014,1275.43835449219
SDN,2015,1292.37963867188
SDN,2016,1033.21594238281
SDN,2017,966.505676269531
SDN,2018,731.027465820313
SDN,2019,709.975280761719
SDN,2020,577.795227050781
SDN,2021,712.122009277344
SDN,2022,1046.24084472656
SDN,2023,797.283447265625
SDN,2024,989.312866210938
SOM,2012,350.2619467205121
SOM,2013,393.3987039529792
SOM,2014,429.43165672510173
SOM,2015,445.583080073396
SOM,2016,460.928490585175
SOM,2017,510.93995231772567
SOM,2018,509.52580189850846
SOM,2019,539.8939315654069
SOM,2020,518.1847784943341
SOM,2021,549.1147427217014
SOM,2022,573.1280924723494
SOM,2023,597.4588546030427
SOM,2024,636.9834775892725
SSD,2012,1109.2605008340763
SSD,2013,1650.1894335352792
SSD,2014,1242.7345018103244
SSD,2015,1080.1471862476544
TCD,2012,1354.3434470193736
TCD,2013,1304.8874297147465
TCD,2014,1278.7898142249378
TCD,2015,993.9907306108692
TCD,2016,861.8317676307461
TCD,2017,854.4612004009803
TCD,2018,948.6566298712311
TCD,2019,893.3364416433249
TCD,2020,866.9478148904094
TCD,2021,946.3585002083736
TCD,2022,966.0364682785677
TCD,2023,989.0585289685885
TCD,2024,1016.0888066271244
TZA,2012,861.969909667969
TZA,2013,963.05712890625
TZA,2014,1022.74841308594
TZA,2015,939.127319335938
TZA,2016,953.0107421875
TZA,2017,986.674011230469
TZA,2018,1023.10626220703
TZA,2019,1063.32250976563
TZA,2020,1117.41528320313
TZA,2021,1159.85656738281
TZA,2022,1207.85302734375
TZA,2023,1224.48962402344
TZA,2024,1185.74548339844
UGA,2012,795.222867553127
UGA,2013,818.2854274167128
UGA,2014,896.0547955463935
UGA,2015,862.9346103558107
UGA,2016,752.6965717256556
UGA,2017,765.2183322973606
UGA,2018,792.1657002281404
UGA,2019,822.1711501416511
UGA,2020,845.7664638500104
UGA,2021,882.791717442001
UGA,2022,963.0673142334972
UGA,2023,1002.3091390885152
UGA,2024,1072.7136983769542
