country,year,gdp_pcap (US dollars)
AFG,2012,651.4171344700457
AFG,2013,637.0870991170988
AFG,2014,625.0549418139383
AFG,2015,565.5697304087512
AFG,2016,522.0822155838985
AFG,2017,525.4697708916185
AFG,2018,491.3372213826032
AFG,2019,496.6025042584997
AFG,2020,510.78706336681074
AFG,2021,356.49621411589226
AFG,2022,357.2611527981439
AFG,2023,413.75789470530316
AGO,2012,5086.027400863757
AGO,2013,5057.747878331633
AGO,2014,5005.999741270698
AGO,2015,3213.902610800591
AGO,2016,1807.952940726431
AGO,2017,2437.259711908214
AGO,2018,2538.5913914337057
AGO,2019,2189.8557140761836
AGO,2020,1449.9228666930803
AGO,2021,1925.8746608216743
AGO,2022,2929.694454672716
AGO,2023,2309.534130427727
AGO,2024,2122.083689918715
ALB,2012,4222.347098891304
ALB,2013,4420.234619883529
ALB,2014,4602.230514432285
ALB,2015,3981.726622618674
ALB,2016,4168.37544462548
ALB,2017,4614.047969259604
ALB,2018,5365.48880180298
ALB,2019,5460.430508693201
ALB,2020,5370.77749956875
ALB,2021,6413.28280828537
ALB,2022,6846.4266938164255
ALB,2023,8575.171346372215
ALB,2024,10011.627985666732
ARE,2012,52034.47624760706
ARE,2013,52023.51709594411
ARE,2014,51381.40699017464
ARE,2015,43534.997269463136
ARE,2016,41326.40181615689
ARE,2017,42340.59171601607
ARE,2018,45689.857004940095
ARE,2019,44251.454139881665
ARE,2020,37173.875409306565
ARE,2021,43360.02110013267
ARE,2022,49899.06529751974
ARE,2023,49040.69475210351
ARE,2024,49377.56433843787
ARM,2012,3511.563996874258
ARM,2013,3680.1669215888587
ARM,2014,3852.1180061038444
ARM,2015,3512.3935027670905
ARM,2016,3524.4247687470715
ARM,2017,3869.0537386775177
ARM,2018,4196.005623017693
ARM,2019,4597.228873995479
ARM,2020,4268.6809330458345
ARM,2021,4685.179971285085
ARM,2022,6571.974455450988
ARM,2023,8125.273957540031
ARM,2024,8500.605224867186
AUT,2012,48250.40591426372
AUT,2013,50305.35457749725
AUT,2014,51314.972261632225
AUT,2015,43915.22802085699
AUT,2016,45061.49939201917
AUT,2017,47163.7425775142
AUT,2018,51194.07498412994
AUT,2019,49885.99473552041
AUT,2020,48716.4098900349
