country,year,land_area
AGO,2012,1246700.0
ALB,2012,27400.0
ARE,2012,71020.0
ARM,2012,28470.0
AUT,2012,82520.0
BDI,2012,25680.0
BEL,2012,30333.0
BEN,2012,112760.0
BFA,2012,273600.0
BGR,2012,108560.0
BHR,2012,770.0
BWA,2012,566730.0
CAF,2012,622980.0
CHE,2012,39512.028
CIV,2012,318000.0
CMR,2012,472710.0
COD,2012,2267050.0
COG,2012,341500.0
COM,2012,1861.0
CZE,2012,77230.0
DEU,2012,348540.0
DJI,2012,23180.0
DNK,2012,40000.0
DZA,2012,2381740.0
EGY,2012,995450.0
ERI,2012,121082.12
ESP,2012,500210.0
EST,2012,42390.0
ETH,2012,1128582.1
FIN,2012,303890.0
FRA,2012,538950.0
GAB,2012,257670.0
GBR,2012,241930.0
GHA,2012,227540.0
GIN,2012,245720.0
GMB,2012,10120.0
GNB,2012,28120.0
GNQ,2012,28050.0
GRC,2012,128900.0
HRV,2012,55964.0
HUN,2012,90530.0
IRL,2012,68890.0
IRN,2012,1628760.0
IRQ,2012,434320.0
ITA,2012,295718.0
JOR,2012,88780.0
KEN,2012,569140.0
KWT,2012,17820.0
LBN,2012,10230.0
LBR,2012,96320.0
LBY,2012,1759540.0
LSO,2012,30360.0
LTU,2012,62674.0
LVA,2012,62227.0
MAR,2012,446300.0
MDG,2012,581795.0
MLI,2012,1220190.0
MOZ,2012,786380.0
MRT,2012,1030700.0
MUS,2012,1997.0
MWI,2012,94280.0
NAM,2012,823290.0
NER,2012,1266700.0
NGA,2012,910770.0
NLD,2012,33720.0
NOR,2012,365244.0
OMN,2012,309500.0
POL,2012,306220.0
PRT,2012,91590.0
QAT,2012,11610.0
ROU,2012,230020.0
RWA,2012,24670.0
SAU,2012,2149690.0
SDN,2012,1868000.0
SEN,2012,192530.0
SLE,2012,72180.0
SOM,2012,627340.0
SSD,2012,631930.0
SWE,2012,407339.7
SWZ,2012,17200.0
SYR,2012,183630.0
TCD,2012,1259200.0
TGO,2012,54390.0
TUN,2012,155360.0
TUR,2012,769630.0
TZA,2012,885800.0
UGA,2012,200520.0
YEM,2012,527970.0
ZAF,2012,1213090.0
ZMB,2012,743390.0
ZWE,2012,386850.0
AGO,2013,1246700.0
ALB,2013,27400.0
ARE,2013,71020.0
ARM,2013,28470.0
AUT,2013,82520.0
BDI,2013,25680.0
BEL,2013,30333.0
BEN,2013,112760.0
BFA,2013,273600.0
BGR,2013,108560.0
BHR,2013,770.0
BWA,2013,566730.0
CAF,2013,622980.0
CHE,2013,39511.428
CIV,2013,318000.0
CMR,2013,472710.0
COD,2013,2267050.0
COG,2013,341500.0
COM,2013,1861.0
CZE,2013,77220.0
DEU,2013,348880.0
DJI,2013,23180.0
DNK,2013,40000.0
DZA,2013,2381740.0
EGY,2013,995450.0
ERI,2013,121049.278
ESP,2013,500210.0
EST,2013,43470.0
ETH,2013,1128572.1
FIN,2013,303890.0
FRA,2013,538950.0
GAB,2013,257670.0
GBR,2013,241930.0
GHA,2013,227540.0
GIN,2013,245720.0
GMB,2013,10120.0
GNB,2013,28120.0
GNQ,2013,28050.0
GRC,2013,128900.0
HRV,2013,55964.0
HUN,2013,90530.0
IRL,2013,68890.0
IRN,2013,1628760.0
IRQ,2013,434128.0
ITA,2013,295718.0
JOR,2013,88780.0
KEN,2013,569140.0
KWT,2013,17820.0
LBN,2013,10230.0
LBR,2013,96320.0
LBY,2013,1759540.0
LSO,2013,30360.0
LTU,2013,62675.0
LVA,2013,62227.0
MAR,2013,446300.0
MDG,2013,581800.0
MLI,2013,1220190.0
MOZ,2013,786380.0
MRT,2013,1030700.0
MUS,2013,1997.0
MWI,2013,94280.0
NAM,2013,823290.0
NER,2013,1266700.0
NGA,2013,910770.0
NLD,2013,33690.0
NOR,2013,365122.96
OMN,2013,309500.0
POL,2013,306210.0
PRT,2013,91605.2
QAT,2013,11610.0
ROU,2013,230030.0
RWA,2013,24670.0
SAU,2013,2149690.0
SDN,2013,1868000.0
SEN,2013,192530.0
SLE,2013,72180.0
SOM,2013,627340.0
SSD,2013,631930.0
SWE,2013,407339.7
SWZ,2013,17200.0
SYR,2013,183630.0
TCD,2013,1259200.0
TGO,2013,54390.0
TUN,2013,155360.0
TUR,2013,769630.0
TZA,2013,885800.0
UGA,2013,200520.0
YEM,2013,527970.0
ZAF,2013,1213090.0
ZMB,2013,743390.0
ZWE,2013,386850.0
AGO,2014,1246700.0
ALB,2014,27400.0
ARE,2014,71020.0
ARM,2014,28470.0
AUT,2014,82520.0
BDI,2014,25680.0
BEL,2014,30333.0
BEN,2014,112760.0
BFA,2014,273600.0
BGR,2014,108560.0
BHR,2014,771.0
BWA,2014,566730.0
CAF,2014,622980.0
CHE,2014,39510.829
CIV,2014,318000.0
CMR,2014,472710.0
COD,2014,2267050.0
COG,2014,341500.0
COM,2014,1861.0
CZE,2014,77220.0
DEU,2014,348900.0
DJI,2014,23180.0
DNK,2014,40000.0
DZA,2014,2381740.0
EGY,2014,995450.0
ERI,2014,121036.185
ESP,2014,500210.0
EST,2014,43470.0
ETH,2014,1128538.3
FIN,2014,303890.0
FRA,2014,538950.0
GAB,2014,257670.0
GBR,2014,241930.0
GHA,2014,227540.0
GIN,2014,245720.0
GMB,2014,10120.0
GNB,2014,28120.0
GNQ,2014,28050.0
GRC,2014,128900.0
HRV,2014,55964.0
HUN,2014,91260.0
IRL,2014,68890.0
IRN,2014,1628760.0
IRQ,2014,434128.0
ITA,2014,295718.0
JOR,2014,88780.0
KEN,2014,569140.0
KWT,2014,17820.0
LBN,2014,10230.0
LBR,2014,96320.0
LBY,2014,1759540.0
LSO,2014,30360.0
LTU,2014,62650.0
LVA,2014,62227.0
MAR,2014,446300.0
MDG,2014,581800.0
MLI,2014,1220190.0
MOZ,2014,786380.0
MRT,2014,1030700.0
MUS,2014,1997.0
MWI,2014,94280.0
NAM,2014,823290.0
NER,2014,1266700.0
NGA,2014,910770.0
NLD,2014,33690.0
NOR,2014,365108.0
OMN,2014,309500.0
POL,2014,306190.0
PRT,2014,91605.6
QAT,2014,11490.0
ROU,2014,230080.0
RWA,2014,24670.0
SAU,2014,2149690.0
SDN,2014,1868000.0
SEN,2014,192530.0
SLE,2014,72180.0
SOM,2014,627340.0
SSD,2014,631930.0
SWE,2014,407339.7
SWZ,2014,17200.0
SYR,2014,183630.0
TCD,2014,1259200.0
TGO,2014,54390.0
TUN,2014,155360.0
TUR,2014,769630.0
TZA,2014,885800.0
UGA,2014,200520.0
YEM,2014,527970.0
ZAF,2014,1213090.0
ZMB,2014,743390.0
ZWE,2014,386850.0
AGO,2015,1246700.0
ALB,2015,27400.0
ARE,2015,71020.0
ARM,2015,28470.0
AUT,2015,82520.0
BDI,2015,25680.0
BEL,2015,30333.0
BEN,2015,112760.0
BFA,2015,273600.0
BGR,2015,108560.0
BHR,2015,778.0
BWA,2015,566730.0
CAF,2015,622980.0
CHE,2015,39510.23
CIV,2015,318000.0
CMR,2015,472710.0
COD,2015,2267050.0
COG,2015,341500.0
COM,2015,1861.0
CZE,2015,77210.0
DEU,2015,348860.0
DJI,2015,23180.0
DNK,2015,40000.0
DZA,2015,2381741.0
EGY,2015,995450.0
ERI,2015,121088.775
ESP,2015,499661.0
EST,2015,43470.0
ETH,2015,1128539.4
FIN,2015,303910.0
FRA,2015,538950.0
GAB,2015,257670.0
GBR,2015,241930.0
GHA,2015,227540.0
GIN,2015,245720.0
GMB,2015,10120.0
GNB,2015,28120.0
GNQ,2015,28050.0
GRC,2015,128900.0
HRV,2015,55964.0
HUN,2015,91260.0
IRL,2015,68890.0
IRN,2015,1628760.0
IRQ,2015,434128.0
ITA,2015,295718.0
JOR,2015,88780.0
KEN,2015,571096.05
KWT,2015,17820.0
LBN,2015,10230.0
LBR,2015,96320.0
LBY,2015,1759540.0
LSO,2015,30360.0
LTU,2015,62650.0
LVA,2015,62227.0
MAR,2015,446300.0
MDG,2015,581800.0
MLI,2015,1220190.0
MOZ,2015,786380.0
MRT,2015,1030700.0
MUS,2015,1997.0
MWI,2015,94280.0
NAM,2015,823290.0
NER,2015,1266700.0
NGA,2015,910770.0
NLD,2015,33670.0
NOR,2015,365190.7
OMN,2015,309500.0
POL,2015,306190.0
PRT,2015,91605.6
QAT,2015,11490.0
ROU,2015,230080.0
RWA,2015,24670.0
SAU,2015,2149690.0
SDN,2015,1868000.0
SEN,2015,192530.0
SLE,2015,72180.0
SOM,2015,627340.0
SSD,2015,631930.0
SWE,2015,407310.64
SWZ,2015,17200.0
SYR,2015,183630.0
TCD,2015,1259200.0
