country,year,mean_light,gdp_pcap (US dollars),population,land_area,urban_pop_rate
LBN,2012,1.127601981163025,8406.984056081175,5235742.0,10230.0,87.636
ETH,2012,0.0046896943822503,452.1010318857536,95798767.0,1128582.1,18.16
SOM,2012,0.0001433992001693,350.2619467205121,12461160.0,627340.0,41.558
KEN,2012,0.0121848853304982,1285.005361715117,43888303.0,569140.0,24.376
MWI,2012,0.0203687977045774,558.46208832772,15709577.0,94280.0,15.812
TZA,2012,0.0067596645094454,861.969909667969,47374260.0,885800.0,29.493
SYR,2012,0.213671013712883,1897.6611501869636,22759763.0,183630.0,53.555
MAR,2012,0.0490017235279083,3164.17724609375,33355241.0,446300.0,59.142
COG,2012,0.0189647264778614,3732.327373203891,4740450.0,341500.0,64.169
COD,2012,0.0036754473112523,400.0599018243418,73254618.0,2267050.0,41.082
NAM,2012,0.0043223174288868,5942.646809786729,2194654.0,823290.0,43.693
ZAF,2012,0.0547772608697414,8076.976784797406,53782567.0,1213090.0,63.272
OMN,2012,0.1923108249902725,24642.297876859564,3547106.0,309500.0,77.564
LTU,2012,0.1399374604225158,14288.185349313851,2989139.0,62674.0,66.864
CZE,2012,0.4954495131969452,20014.035401516467,10510785.0,77230.0,73.197
DEU,2012,0.5103482604026794,44735.58823197014,80425823.0,348540.0,77.17
EST,2012,0.2102102637290954,17568.213796971362,1322696.0,42390.0,67.974
LVA,2012,0.1064079627394676,13329.349993127104,2034319.0,62227.0,67.897
NOR,2012,0.0026051963213831,102175.91929837366,5018573.0,365244.0,79.874
SWE,2012,0.1626313328742981,57749.825132866434,9519374.0,407339.7,85.62
ARE,2012,1.3472487926483154,52034.47624760706,7391448.0,71020.0,84.749
BEL,2012,1.5664210319519043,44874.17091821225,11106932.0,30333.0,97.744
ALB,2012,0.1782691031694412,4222.347098891304,2900401.0,27400.0,54.33
TUR,2012,0.3339886665344238,11713.284983113905,75175827.0,769630.0,71.974
ESP,2012,0.1391928195953369,28456.44381514769,46773055.0,500210.0,78.902
ARM,2012,0.0566371269524097,3511.563996874258,3024100.0,28470.0,63.24
LBY,2012,0.1211962103843689,14975.890279514448,6179328.0,1759540.0,78.512
TUN,2012,0.1950062215328216,4297.267824542726,11009647.0,155360.0,67.218
ROU,2012,0.2060909122228622,8929.953662314741,20058035.0,230020.0,53.974
HUN,2012,0.2704053819179535,12950.159448814284,9920362.0,90530.0,69.678
POL,2012,0.671297013759613,13087.42094332095,38063164.0,306220.0,60.654
IRL,2012,0.1833863854408264,49411.73874767873,4599533.0,68890.0,61.942
GRC,2012,0.169215589761734,21624.346052551045,11045011.0,128900.0,77.004
ZMB,2012,0.0141271715983748,1710.0506134372813,14913629.0,743390.0,40.354
SLE,2012,0.0034217427019029,937.504428180231,6551080.0,72180.0,39.642
GIN,2012,0.0033617643639445,699.3533772121965,10921581.0,245720.0,34.255
LBR,2012,0.0021084940526634,638.3687514620826,4373043.0,96320.0,48.583
CAF,2012,0.0001772211398929,544.3958491427853,4610848.0,622980.0,39.388
SDN,2012,0.0098312068730592,1019.22210693359,36923178.0,1868000.0,33.346
DJI,2012,0.0278596896678209,1400.193578589536,966747.0,23180.0,77.138
ERI,2012,0.001476339995861,,3036988.0,121082.12,36.372
AUT,2012,0.2033098936080932,48250.40591426372,8429991.0,82520.0,57.147
IRQ,2012,0.9235703349113464,6477.596184509547,33654842.0,434320.0,69.432
ITA,2012,0.4662177860736847,34854.39494419646,60191247.0,295718.0,68.684
CHE,2012,0.5154479146003723,85836.2076767359,7996861.0,39512.028,73.653
IRN,2012,0.3163212537765503,8114.080998318772,79370580.0,1628760.0,71.755
CIV,2012,0.0338231660425663,1546.9460184731029,23467078.0,318000.0,48.172
MLI,2012,0.0015519838780164,878.2171753448575,16957033.0,1220190.0,37.599
SEN,2012,0.0183749441057443,1326.837988483788,13310495.0,192530.0,44.603
NGA,2012,0.0901311486959457,2633.197346713614,176200625.0,910770.0,45.246
BEN,2012,0.012812309898436,1071.5258366282956,10397657.0,112760.0,44.125
AGO,2012,0.0149326445534825,5086.027400863757,25177394.0,1246700.0,61.268
HRV,2012,0.1622867733240127,13508.68369896929,4260368.0,55964.0,55.506
QAT,2012,7.935840129852295,108470.378825036,1722438.0,11610.0,98.697
SAU,2012,0.311201274394989,28733.437551345218,26168861.0,2149690.0,82.52
BWA,2012,0.009037796407938,6595.538450154237,2108617.0,566730.0,64.768
ZWE,2012,0.0193179566413164,1238.5947948143332,13817887.0,386850.0,32.834
BGR,2012,0.1782632321119308,7431.957895088705,7305888.0,108560.0,72.975
TCD,2012,0.001730162766762,1354.3434470193736,13210998.0,1259200.0,22.142
KWT,2012,4.124639511108398,52155.22254604792,3337109.0,17820.0,100.0
DZA,2012,0.1319661289453506,6033.648846895432,37646166.0,2381740.0,68.915
MOZ,2012,0.0069605740718543,685.6857481995128,24337846.0,786380.0,32.846
SWZ,2012,0.1663180142641067,4347.995693366309,1123863.0,17200.0,22.849
BDI,2012,0.0091280834749341,231.68849639356924,10071028.0,25680.0,11.194
RWA,2012,0.0381304919719696,706.8172686891002,10829901.0,24670.0,16.943
UGA,2012,0.0112501345574855,795.222867553127,34337438.0,200520.0,20.424
PRT,2012,0.0458654798567295,20593.4274224109,10514844.0,91590.0,61.763
JOR,2012,0.2722440361976623,4169.504700546181,7587127.0,88780.0,88.185
LSO,2012,0.0336978062987327,1217.9307122894418,2034354.0,30360.0,25.704
CMR,2012,0.004230186343193,1449.0987436227924,20809529.0,472710.0,52.769
GAB,2012,0.030905095860362,9296.965879410882,1846889.0,257670.0,86.634
NER,2012,0.0018949285149574,528.5101044696552,17836769.0,1266700.0,16.212
BFA,2012,0.0092365778982639,731.470138867833,17172287.0,273600.0,25.767
TGO,2012,0.017336530610919,762.3920475870876,7100736.0,54390.0,38.546
GHA,2012,0.073430061340332,1543.7752423576376,26734268.0,227540.0,52.073
GNB,2012,0.0015513161197304,635.4616533038806,1651417.0,28120.0,40.908
EGY,2012,0.5095914602279663,2996.0677072015005,93161001.0,995450.0,42.946
YEM,2012,0.0845783054828643,1245.0506827158558,28433647.0,527970.0,32.958
MRT,2012,0.001389654004015,1859.1173324764088,3619034.0,1030700.0,48.4
GNQ,2012,0.0048720710910856,17308.57239245747,1293483.0,28050.0,69.0
GMB,2012,0.0257352963089942,692.579361628102,2043094.0,10120.0,57.105
MDG,2012,0.0020074653439223,493.5111629042107,23462438.0,581795.0,33.227
MUS,2012,0.0035932825412601,9291.23627601053,1255882.0,1997.0,41.332
COM,2012,0.0052262959070503,1490.314256508712,681630.0,1861.0,28.123
BHR,2012,8.775185585021973,26438.67332304283,1208964.0,770.0,88.762
LBN,2013,1.3894269466400146,8162.379293613964,5743436.0,10230.0,87.79
ETH,2013,0.0051473365165293,484.039833104062,98438751.0,1128572.1,18.575
SOM,2013,0.0002157092676497,393.3987039529792,12869594.0,627340.0,42.117
KEN,2013,0.0145581439137458,1370.8788521465926,44986791.0,569140.0,24.794
MWI,2013,0.0203583817929029,496.94736826731287,16161816.0,94280.0,15.966
TZA,2013,0.0078417500481009,963.05712890625,48824128.0,885800.0,30.196
SYR,2013,0.1530259549617767,985.8926692270542,21666917.0,183630.0,52.529
MAR,2013,0.0534372813999652,3379.7431640625,33787571.0,446300.0,59.7
COG,2013,0.02561966329813,3697.417058842495,4857099.0,341500.0,64.627
COD,2013,0.0039413678459823,431.19152816093504,75789395.0,2267050.0,41.627
NAM,2013,0.0049147983081638,5346.621311499674,2252508.0,823290.0,44.756
ZAF,2013,0.0598873905837535,7331.654673849192,54678791.0,1213090.0,63.793
OMN,2013,0.2176630645990371,23458.02338400529,3833913.0,309500.0,78.882
LTU,2013,0.0,15636.525258604766,2961250.0,62675.0,66.986
CZE,2013,0.1486010104417801,20260.49549993748,10514272.0,77220.0,73.29
DEU,2013,0.1735241711139679,47220.010209885135,80645605.0,348880.0,77.18
EST,2013,3.739490239240695e-06,19310.38749007572,1317997.0,43470.0,68.122
LVA,2013,5.361068815545877e-06,14484.47152821325,2012647.0,62227.0,67.925
NOR,2013,0.0,103553.84013441677,5079623.0,365122.96,80.286
SWE,2013,0.0,60844.27671139754,9600379.0,407339.7,85.936
ARE,2013,1.4967999458312988,52023.51709594411,7693031.0,71020.0,85.066
BEL,2013,1.6017217636108398,46964.59467770559,11159407.0,30333.0,97.789
ALB,2013,0.2100795954465866,4420.234619883529,2895092.0,27400.0,55.387
TUR,2013,0.3820177018642425,12578.187863200044,76147624.0,769630.0,72.531
ESP,2013,0.1509567350149154,29228.846559842044,46604197.0,500210.0,79.133
ARM,2013,0.0729027837514877,3680.1669215888583,3022000.0,28470.0,63.164
LBY,2013,0.1140913814306259,11951.713412601106,6304628.0,1759540.0,78.756
TUN,2013,0.1943295896053314,4369.79345826358,11141361.0,155360.0,67.495
ROU,2013,0.2123878747224807,9497.674116152371,19983693.0,230030.0,53.937
HUN,2013,0.2590073645114898,13739.462015140129,9872734.0,90530.0,69.953
POL,2013,0.0409043841063976,13621.902379403096,38040196.0,306210.0,60.529
IRL,2013,0.0,52619.21237458172,4623816.0,68890.0,62.141
GRC,2013,0.1717787683010101,21573.344976280478,10965211.0,128900.0,77.355
ZMB,2013,0.0156350824981927,1820.718548273905,15398997.0,743390.0,40.865
SLE,2013,0.0049056373536586,1117.471830751147,6714051.0,72180.0,40.036
GIN,2013,0.0037050347309559,748.4550208247343,11191873.0,245720.0,34.545
LBR,2013,0.0024109287187457,710.7445709278632,4470239.0,96320.0,48.985
CAF,2013,0.0001468888367526,364.3669626083801,4642419.0,622980.0,39.663
SDN,2013,0.0117948912084102,1138.62780761719,37785849.0,1868000.0,33.507
DJI,2013,0.0303282979875803,2075.944984247476,984824.0,23180.0,77.222
ERI,2013,0.0013738697161898,,3074360.0,121049.278,36.979
AUT,2013,0.1809581518173217,50305.35457749725,8479823.0,82520.0,57.336
IRQ,2013,0.9926547408103944,6650.352822473952,35281989.0,434128.0,69.595
ITA,2013,0.4491026699542999,35701.67460023755,60311613.0,295718.0,68.979
CHE,2013,0.3468759059906006,87304.33058135571,8089346.0,39511.428,73.674
IRN,2013,0.3366959393024444,6222.741948403264,80414686.0,1628760.0,72.295
CIV,2013,0.0452291034162044,1786.1586203132365,23939775.0,318000.0,48.593
