country,year,urban_pop_rate
AFG,2012,24.16
AGO,2012,61.268
ALB,2012,54.33
ARE,2012,84.749
ARM,2012,63.24
AUT,2012,57.147
BDI,2012,11.194
BEL,2012,97.744
BEN,2012,44.125
BFA,2012,25.767
BGD,2012,31.993
BGR,2012,72.975
BHR,2012,88.762
BWA,2012,64.768
CAF,2012,39.388
CHE,2012,73.653
CHN,2012,51.765
CIV,2012,48.172
CMR,2012,52.769
COD,2012,41.082
COG,2012,64.169
COM,2012,28.123
CZE,2012,73.197
DEU,2012,77.17
DJI,2012,77.138
DNK,2012,87.142
DZA,2012,68.915
EGY,2012,42.946
ERI,2012,36.372
ESP,2012,78.902
EST,2012,67.974
ETH,2012,18.16
FIN,2012,84.841
FRA,2012,78.878
GAB,2012,86.634
GBR,2012,81.837
GHA,2012,52.073
GIN,2012,34.255
GMB,2012,57.105
GNB,2012,40.908
GNQ,2012,69.0
GRC,2012,77.004
HRV,2012,55.506
HUN,2012,69.678
IDN,2012,51.276
IND,2012,31.634
IRL,2012,61.942
IRN,2012,71.755
IRQ,2012,69.432
ITA,2012,68.684
JOR,2012,88.185
JPN,2012,91.148
KAZ,2012,56.973
KEN,2012,24.376
KGZ,2012,35.423
KHM,2012,21.037
KOR,2012,81.851
KWT,2012,100.0
LAO,2012,31.264
LBN,2012,87.636
LBR,2012,48.583
LBY,2012,78.512
LKA,2012,18.196
LSO,2012,25.704
LTU,2012,66.864
LVA,2012,67.897
MAR,2012,59.142
MDG,2012,33.227
MLI,2012,37.599
MMR,2012,29.266
MNG,2012,68.03
MOZ,2012,32.846
MRT,2012,48.4
MUS,2012,41.332
MWI,2012,15.812
MYS,2012,72.275
NAM,2012,43.693
NER,2012,16.212
NGA,2012,45.246
NLD,2012,88.588
NOR,2012,79.874
NPL,2012,17.458
OMN,2012,77.564
PAK,2012,35.408
PHL,2012,45.712
POL,2012,60.654
PRT,2012,61.763
QAT,2012,98.697
ROU,2012,53.974
RWA,2012,16.943
SAU,2012,82.52
SDN,2012,33.346
SEN,2012,44.603
SGP,2012,100.0
SLE,2012,39.642
SOM,2012,41.558
SSD,2012,18.217
SWE,2012,85.62
SWZ,2012,22.849
SYR,2012,53.555
TCD,2012,22.142
TGO,2012,38.546
THA,2012,45.445
TJK,2012,26.545
TKM,2012,49.175
TUN,2012,67.218
TUR,2012,71.974
TZA,2012,29.493
UGA,2012,20.424
UZB,2012,51.05
VNM,2012,31.752
YEM,2012,32.958
ZAF,2012,63.272
ZMB,2012,40.354
ZWE,2012,32.834
AFG,2013,24.373
AGO,2013,62.002
ALB,2013,55.387
ARE,2013,85.066
ARM,2013,63.164
AUT,2013,57.336
BDI,2013,11.482
BEL,2013,97.789
BEN,2013,44.642
BFA,2013,26.346
BGD,2013,32.762
BGR,2013,73.313
BHR,2013,88.835
BWA,2013,65.572
CAF,2013,39.663
CHE,2013,73.674
CHN,2013,53.013
CIV,2013,48.593
CMR,2013,53.373
COD,2013,41.627
COG,2013,64.627
COM,2013,28.223
CZE,2013,73.29
DEU,2013,77.18
DJI,2013,77.222
DNK,2013,87.292
DZA,2013,69.576
EGY,2013,42.893
ERI,2013,36.979
ESP,2013,79.133
EST,2013,68.122
ETH,2013,18.575
FIN,2013,85.125
FRA,2013,79.135
GAB,2013,87.156
GBR,2013,82.102
GHA,2013,52.748
GIN,2013,34.545
GMB,2013,57.82
GNB,2013,41.31
GNQ,2013,69.544
GRC,2013,77.355
HRV,2013,55.706
HUN,2013,69.953
IDN,2013,51.955
IND,2013,32.003
IRL,2013,62.141
IRN,2013,72.295
IRQ,2013,69.595
ITA,2013,68.979
JOR,2013,89.125
JPN,2013,91.226
KAZ,2013,57.046
KEN,2013,24.794
KGZ,2013,35.517
KHM,2013,21.415
KOR,2013,81.779
KWT,2013,100.0
LAO,2013,31.872
LBN,2013,87.79
LBR,2013,48.985
LBY,2013,78.756
LKA,2013,18.198
LSO,2013,26.101
LTU,2013,66.986
LVA,2013,67.925
MAR,2013,59.7
MDG,2013,33.878
MLI,2013,38.398
MMR,2013,29.457
MNG,2013,68.097
MOZ,2013,33.36
MRT,2013,49.306
MUS,2013,41.222
MWI,2013,15.966
MYS,2013,72.93
NAM,2013,44.756
NER,2013,16.208
NGA,2013,46.118
NLD,2013,89.187
NOR,2013,80.286
NPL,2013,17.815
OMN,2013,78.882
PAK,2013,35.613
PHL,2013,45.903
POL,2013,60.529
PRT,2013,62.352
QAT,2013,98.785
ROU,2013,53.937
RWA,2013,16.947
SAU,2013,82.74
SDN,2013,33.507
SEN,2013,45.019
SGP,2013,100.0
SLE,2013,40.036
SOM,2013,42.117
SSD,2013,18.415
SWE,2013,85.936
SWZ,2013,22.999
SYR,2013,52.529
TCD,2013,22.248
TGO,2013,39.061
THA,2013,46.193
TJK,2013,26.589
TKM,2013,49.541
TUN,2013,67.495
TUR,2013,72.531
TZA,2013,30.196
UGA,2013,20.958
UZB,2013,50.95
VNM,2013,32.429
YEM,2013,33.559
ZAF,2013,63.793
ZMB,2013,40.865
ZWE,2013,32.654
AFG,2014,24.587
AGO,2014,62.731
ALB,2014,56.423
ARE,2014,85.375
ARM,2014,63.112
AUT,2014,57.526
BDI,2014,11.776
BEL,2014,97.833
BEN,2014,45.166
BFA,2014,26.934
BGD,2014,33.535
BGR,2014,73.651
BHR,2014,88.915
BWA,2014,66.368
CAF,2014,39.959
CHE,2014,73.696
CHN,2014,54.259
CIV,2014,49.014
CMR,2014,53.976
COD,2014,42.18
COG,2014,65.085
COM,2014,28.338
CZE,2014,73.384
DEU,2014,77.19
DJI,2014,77.314
DNK,2014,87.41
DZA,2014,70.221
EGY,2014,42.839
ERI,2014,37.59
ESP,2014,79.366
EST,2014,68.269
ETH,2014,18.998
FIN,2014,85.175
FRA,2014,79.394
GAB,2014,87.651
GBR,2014,82.365
GHA,2014,53.419
GIN,2014,34.836
GMB,2014,58.528
GNB,2014,41.715
GNQ,2014,70.083
GRC,2014,77.702
HRV,2014,55.923
HUN,2014,70.227
IDN,2014,52.635
IND,2014,32.384
IRL,2014,62.34
IRN,2014,72.83
IRQ,2014,69.758
ITA,2014,69.272
JOR,2014,90.0
JPN,2014,91.304
KAZ,2014,57.118
KEN,2014,25.221
KGZ,2014,35.635
KHM,2014,21.799
KOR,2014,81.707
KWT,2014,100.0
LAO,2014,32.487
LBN,2014,87.947
LBR,2014,49.397
LBY,2014,79.009
LKA,2014,18.218
LSO,2014,26.502
LTU,2014,67.108
LVA,2014,67.952
MAR,2014,60.256
MDG,2014,34.534
MLI,2014,39.196
MMR,2014,29.65
MNG,2014,68.163
MOZ,2014,33.878
MRT,2014,50.203
MUS,2014,41.111
MWI,2014,16.132
MYS,2014,73.577
NAM,2014,45.826
NER,2014,16.219
NGA,2014,46.982
NLD,2014,89.69
NOR,2014,80.692
NPL,2014,18.182
OMN,2014,80.145
PAK,2014,35.819
PHL,2014,46.093
POL,2014,60.403
PRT,2014,62.936
QAT,2014,98.868
ROU,2014,53.9
RWA,2014,16.967
SAU,2014,82.96
SDN,2014,33.689
SEN,2014,45.436
SGP,2014,100.0
SLE,2014,40.432
SOM,2014,42.679
SSD,2014,18.626
SWE,2014,86.247
SWZ,2014,23.149
SYR,2014,51.5
TCD,2014,22.372
TGO,2014,39.579
THA,2014,46.943
TJK,2014,26.655
TKM,2014,49.921
TUN,2014,67.772
TUR,2014,73.077
TZA,2014,30.904
UGA,2014,21.504
UZB,2014,50.85
VNM,2014,33.115
YEM,2014,34.165
ZAF,2014,64.312
ZMB,2014,41.382
ZWE,2014,32.504
AFG,2015,24.803
AGO,2015,63.446
ALB,2015,57.434
ARE,2015,85.674
ARM,2015,63.085
AUT,2015,57.715
BDI,2015,12.078
BEL,2015,97.876
BEN,2015,45.695
BFA,2015,27.53
BGD,2015,34.308
BGR,2015,73.99
BHR,2015,88.999
BWA,2015,67.155
CAF,2015,40.277
CHE,2015,73.718
CHN,2015,55.5
CIV,2015,49.444
CMR,2015,54.578
COD,2015,42.74
COG,2015,65.543
COM,2015,28.47
CZE,2015,73.477
DEU,2015,77.2
DJI,2015,77.417
DNK,2015,87.526
DZA,2015,70.848
EGY,2015,42.785
ERI,2015,38.206
ESP,2015,79.602
EST,2015,68.416
ETH,2015,19.428
FIN,2015,85.225
FRA,2015,79.655
GAB,2015,88.118
GBR,2015,82.626
GHA,2015,54.086
GIN,2015,35.141
GMB,2015,59.228
GNB,2015,42.123
GNQ,2015,70.616
GRC,2015,78.046
HRV,2015,56.155
HUN,2015,70.5
IDN,2015,53.313
IND,2015,32.777
IRL,2015,62.538
IRN,2015,73.358
IRQ,2015,69.921
ITA,2015,69.565
JOR,2015,90.256
JPN,2015,91.381
KAZ,2015,57.191
KEN,2015,25.658
KGZ,2015,35.777
KHM,2015,22.188
KOR,2015,81.634
KWT,2015,100.0
LAO,2015,33.108
LBN,2015,88.106
LBR,2015,49.82
LBY,2015,79.27
LKA,2015,18.256
LSO,2015,26.908
LTU,2015,67.23
LVA,2015,67.98
MAR,2015,60.809
MDG,2015,35.193
MLI,2015,39.991
MMR,2015,29.858
MNG,2015,68.23
MOZ,2015,34.4
MRT,2015,51.089
MUS,2015,41.0
MWI,2015,16.313
MYS,2015,74.213
NAM,2015,46.9
NER,2015,16.247
NGA,2015,47.838
NLD,2015,90.173
NOR,2015,81.091
NPL,2015,18.557
OMN,2015,81.35
PAK,2015,36.026
PHL,2015,46.284
POL,2015,60.278
PRT,2015,63.514
QAT,2015,98.945
ROU,2015,53.887
RWA,2015,17.004
SAU,2015,83.18
SDN,2015,33.894
SEN,2015,45.862
SGP,2015,100.0
SLE,2015,40.829
SOM,2015,43.245
SSD,2015,18.852
SWE,2015,86.553
SWZ,2015,23.3
SYR,2015,52.168
TCD,2015,22.515
TGO,2015,40.1
THA,2015,47.694
TJK,2015,26.742
TKM,2015,50.317
TUN,2015,68.056
TUR,2015,73.611
TZA,2015,31.617
UGA,2015,22.06
UZB,2015,50.75
VNM,2015,33.809
YEM,2015,34.777
ZAF,2015,64.828
ZMB,2015,41.907
ZWE,2015,32.385
AFG,2016,25.02
AGO,2016,64.149
ALB,2016,58.421
ARE,2016,85.965
ARM,2016,63.082
AUT,2016,57.905
BDI,2016,12.388
BEL,2016,97.919
BEN,2016,46.229
BFA,2016,28.134
BGD,2016,35.083
BGR,2016,74.329
BHR,2016,89.09
BWA,2016,67.933
CAF,2016,40.618
CHE,2016,73.739
CHN,2016,56.736
CIV,2016,49.881
CMR,2016,55.179
COD,2016,43.307
COG,2016,66.001
COM,2016,28.619
CZE,2016,73.57
DEU,2016,77.224
DJI,2016,77.528
DNK,2016,87.642
DZA,2016,71.459
EGY,2016,42.732
ERI,2016,38.827
ESP,2016,79.84
EST,2016,68.563
ETH,2016,19.866
FIN,2016,85.275
FRA,2016,79.917
GAB,2016,88.559
GBR,2016,82.886
GHA,2016,54.749
GIN,2016,35.46
GMB,2016,59.918
GNB,2016,42.533
GNQ,2016,71.138
GRC,2016,78.387
HRV,2016,56.403
HUN,2016,70.779
IDN,2016,53.989
IND,2016,33.182
IRL,2016,62.737
IRN,2016,73.88
IRQ,2016,70.094
ITA,2016,69.855
JOR,2016,90.506
JPN,2016,91.457
KAZ,2016,57.264
KEN,2016,26.105
KGZ,2016,35.944
KHM,2016,22.582
KOR,2016,81.562
KWT,2016,100.0
LAO,2016,33.736
LBN,2016,88.266
LBR,2016,50.254
LBY,2016,79.54
LKA,2016,18.311
LSO,2016,27.317
LTU,2016,67.366
LVA,2016,68.021
MAR,2016,61.36
MDG,2016,35.856
MLI,2016,40.783
MMR,2016,30.082
MNG,2016,68.297
MOZ,2016,34.926
MRT,2016,51.962
MUS,2016,40.91
MWI,2016,16.506
MYS,2016,74.84
NAM,2016,47.961
NER,2016,16.29
NGA,2016,48.683
NLD,2016,90.635
NOR,2016,81.485
NPL,2016,18.942
OMN,2016,82.5
PAK,2016,36.234
PHL,2016,46.475
POL,2016,60.178
PRT,2016,64.086
QAT,2016,99.015
ROU,2016,53.9
RWA,2016,17.056
SAU,2016,83.401
SDN,2016,34.121
SEN,2016,46.296
SGP,2016,100.0
SLE,2016,41.228
SOM,2016,43.816
SSD,2016,19.092
SWE,2016,86.852
SWZ,2016,23.459
SYR,2016,52.835
TCD,2016,22.677
TGO,2016,40.628
THA,2016,48.448
TJK,2016,26.851
TKM,2016,50.728
TUN,2016,68.346
TUR,2016,74.134
TZA,2016,32.333
UGA,2016,22.624
UZB,2016,50.65
VNM,2016,34.51
YEM,2016,35.394
ZAF,2016,65.341
ZMB,2016,42.438
ZWE,2016,32.296
AFG,2017,25.25
AGO,2017,64.839
ALB,2017,59.383
ARE,2017,86.248
ARM,2017,63.103
AUT,2017,58.094
BDI,2017,12.706
BEL,2017,97.961
BEN,2017,46.768
BFA,2017,28.743
BGD,2017,35.858
BGR,2017,74.669
BHR,2017,89.186
BWA,2017,68.7
CAF,2017,40.98
CHE,2017,73.761
CHN,2017,57.96
CIV,2017,50.326
CMR,2017,55.777
COD,2017,43.88
COG,2017,66.459
COM,2017,28.784
CZE,2017,73.675
DEU,2017,77.261
DJI,2017,77.648
DNK,2017,87.757
DZA,2017,72.052
EGY,2017,42.705
ERI,2017,39.451
ESP,2017,80.08
EST,2017,68.717
ETH,2017,20.31
FIN,2017,85.325
FRA,2017,80.18
GAB,2017,88.976
GBR,2017,83.143
GHA,2017,55.407
GIN,2017,35.793
GMB,2017,60.599
GNB,2017,42.945
GNQ,2017,71.646
GRC,2017,78.724
HRV,2017,56.667
HUN,2017,71.062
IDN,2017,54.659
IND,2017,33.6
IRL,2017,62.947
IRN,2017,74.394
IRQ,2017,70.278
ITA,2017,70.144
JOR,2017,90.747
JPN,2017,91.535
KAZ,2017,57.336
KEN,2017,26.562
KGZ,2017,36.135
KHM,2017,22.98
KOR,2017,81.503
KWT,2017,100.0
LAO,2017,34.368
LBN,2017,88.429
LBR,2017,50.697
LBY,2017,79.817
LKA,2017,18.384
LSO,2017,27.73
LTU,2017,67.516
LVA,2017,68.075
MAR,2017,61.908
MDG,2017,36.522
MLI,2017,41.572
MMR,2017,30.322
MNG,2017,68.363
MOZ,2017,35.455
MRT,2017,52.824
MUS,2017,40.841
MWI,2017,16.714
MYS,2017,75.447
NAM,2017,49.005
NER,2017,16.35
NGA,2017,49.519
NLD,2017,91.077
NOR,2017,81.871
NPL,2017,19.336
OMN,2017,83.56
PAK,2017,36.442
PHL,2017,46.682
POL,2017,60.105
PRT,2017,64.652
QAT,2017,99.078
ROU,2017,53.936
RWA,2017,17.125
SAU,2017,83.622
SDN,2017,34.37
SEN,2017,46.74
SGP,2017,100.0
SLE,2017,41.636
SOM,2017,44.391
SSD,2017,19.346
SWE,2017,87.146
SWZ,2017,23.625
SYR,2017,53.5
TCD,2017,22.858
TGO,2017,41.162
THA,2017,49.2
TJK,2017,26.982
TKM,2017,51.153
TUN,2017,68.642
TUR,2017,74.644
TZA,2017,33.053
UGA,2017,23.196
UZB,2017,50.55
VNM,2017,35.213
YEM,2017,36.016
ZAF,2017,65.85
ZMB,2017,42.976
ZWE,2017,32.237
AFG,2018,25.495
AGO,2018,65.514
ALB,2018,60.319
ARE,2018,86.522
ARM,2018,63.149
AUT,2018,58.297
BDI,2018,13.032
BEL,2018,98.001
BEN,2018,47.312
BFA,2018,29.358
BGD,2018,36.632
BGR,2018,75.008
BHR,2018,89.287
BWA,2018,69.446
CAF,2018,41.364
CHE,2018,73.797
CHN,2018,59.152
CIV,2018,50.779
CMR,2018,56.374
COD,2018,44.46
COG,2018,66.916
COM,2018,28.965
CZE,2018,73.792
DEU,2018,77.312
DJI,2018,77.777
DNK,2018,87.874
DZA,2018,72.629
EGY,2018,42.704
ERI,2018,40.08
ESP,2018,80.321
EST,2018,68.88
ETH,2018,20.763
FIN,2018,85.382
